ID,User ID,Date,Waterway Name,Description,Latitude,Longitude,Region,Postcode,District,Country
8ceVOp2UGLstczzseAL9,7FlgzLF4nOaxhYXfLSy6JzGUGDU2,2022-10-13 13:31:00,Myers Dyke,Rather unaccessible. On a disused footpath. No obvious odour. Agricultural buildings next door.,54.1749333,-2.8045304,North West,LA5 0SR,Lancaster,England
2AuxDsEnoTzXfh8W0RcL,02lyZa0gZmdBwXGsIK8ZXR1171Y2,2022-10-15 13:23:35,River Wandle,Rubbish in branch of Wandle Ruver,51.499742,-0.124006,London,SW1A 0AA,Westminster,England
wWjbtCptOEp7kHMbx7WU,JWGLF4QQ9dYB0BjIqVbK9pvQzfV2,2022-10-15 15:07:03,"River Sow, Stafford",Our river is constantly the target of litterers.  There is often at least 1 trolley sometimes as many as 4 to be seen. The ducks share space with  throw away fast food  containers  plastic  bottles etc.,52.80430056259572,-2.112682641265765,West Midlands,ST17 4JZ,Stafford,England
NjJ217eOXNqZQGj2HX3A,DCdl43s1yFbj3661GZ64tgAUpog2,2022-10-16 10:29:23,Arthog RSBP bog,White foam in a marsh ditch. Been growing for 6 weeks,52.7045792,-4.024981,Wales,LL39 1AX,Gwynedd,Wales
grLo9zQurCm3JEZ2zjDm,DCdl43s1yFbj3661GZ64tgAUpog2,2022-10-16 11:06:28,Afon Arthog,"Afon Arthog fresh water river, exit into Afon Mawddach estuary. No smell, but surface covered in slimelike substance. Not oil but doesn't look organic. Haven't see it before today.",,,,,,
ftcn8bGKcT221dMNBLj0,U0ABNO0j4GQrng02OuBns8H0Ua43,2022-10-20 17:10:00,Unnamed beck in to Lake Windermere,"Water was grey and opaque. Beck normally runs clear. Incident a few weeks ago, again same - grey opaque water running in to lake Windermere. Potentially septic tank from Wray Castle?",54.4027528,-2.9631397,North West,LA22 0JA,Westmorland and Furness,England
XFzvHX4oKfvsLK2N6OvZ,JmroIwg1mBYr9uaEyHjtcwhSkhv1,2022-10-25 09:31:55,River derwent,Build up of foam after rain River Derwent Lockhaugh meadow,54.93446,-1.7169222,North East,NE16 5BA,Gateshead,England
WZdokSBkdrTCOKne8TB5,5TllM9bdHxfdK30ypxXPcHd37cn2,2022-10-25 11:00:00,Bog terrain,It’s on moorland by a place called the Hitching Stone. No obvious possible source apart from a blue pipe seen in the grass nearby. No idea how long the oil looking pollution has been there for or whether it’s happened before. It was very localized.,53.886928792800994,-1.983950219065092,Yorkshire and The Humber,BD20 7BJ,North Yorkshire,England
ZFJkkCuImCeHNf5X0YXv,zv9Y1j317KP42LlW9qVi1n5E3R92,2022-10-31 11:52:49,River Swale,Sewage pipe overflow dump by Yorkshire Water,54.4040284,-1.7308385,Yorkshire and The Humber,DL10 4JZ,North Yorkshire,England
UsFgKq2idMB2GzORdo3Q,c70HMSDDefX4uxN2zazSJr8dAQu2,2022-11-02 09:05:00,"North Sea, below Cullernose Point in Northumberland","Brought in by the tide, butane can, plastic drinking bottles & lost fishing gear including monofilament, hooks, lead weights, a lost welly & other broken pieces of plastic.",55.4607116,-1.5914035,North East,NE66 3LF,Northumberland,England
2i7jowXrOxON6QYOsfic,qdtJ0Gf21zSb9KQqcaJnqsX9JQy2,2022-11-07 18:20:49,River,Shopping trolley in the river,51.78431444382037,-1.48032511254459,South East,OX28 4YA,West Oxfordshire,England
Ijw2v65lY14xDSMOQbWe,tEdIVCV9NMNCmM2ziuDvpzEPjjb2,2022-11-12 09:02:24,River Mole and river Thames,Foam on the water and loads downstream as well.  Looks like it’s coming from the sewage works,51.400975,-0.3437671,South East,KT8 9AD,Elmbridge,England
igfib3LEO3MJ23Y5A6qG,U0ABNO0j4GQrng02OuBns8H0Ua43,2022-11-15 11:03:00,Lake Windermere,"Very grey water, foam with brown top. Large particles. Rainfall. Happens most times it rains.",54.4029026,-2.9626257,North West,LA22 0JA,Westmorland and Furness,England
9j3xtNfdMG4QP6yDt4Ty,U0ABNO0j4GQrng02OuBns8H0Ua43,2022-11-17 14:14:00,Lake Windermere,Beck is grey and opaque. Runs straight in to Lake Windermere. Happens every time it rains.,54.4026732,-2.9626835,North West,LA22 0JA,Westmorland and Furness,England
5TJXvUD5YwAAzCfwPNXZ,WDvddR2Xyhefhb1OxRSMO93ZCby2,2022-11-19 10:00:00,River Avon,Large amount of foam lodged against a low hanging tree which appears to be the home of a moorhen. Not sure of potential sources.,51.3456947,-2.254186,South West,BA15 1DF,Wiltshire,England
TPh94ATnLw3Bmh9aCy3r,WDvddR2Xyhefhb1OxRSMO93ZCby2,2022-11-25 08:32:43,River Avon,Trail of foam floating down the river post rainfall.,51.3779447,-2.3621087,South West,BA2 3DQ,Bath and North East Somerset,England
RKrtJPWDF7fSwnzwrP5G,BzQpjjvfKibA7CTOd41eCNF1pBt2,2022-12-30 13:00:29,Small stream,Sewage,53.1493733,-1.4191465,East Midlands,DE55 6FD,North East Derbyshire,England
ayxyE5zAGvfVWjU8N5ek,3VohYHwv9xhQA1aIZh0AcuInppB2,2022-12-31 11:33:00,Monks Brook,"Persistent oil slick on surface of water, accompanied by an oily diesel smell which I recognised from a previous incident when the water was high about a year ago",50.967227,-1.3720138,South East,SO50 9LW,Eastleigh,England
gluTNtY3hpuqKUyVetdn,U0ABNO0j4GQrng02OuBns8H0Ua43,2023-01-10 09:43:00,Lake Windermere,Heavy rain. Septic tank from NT castle is leaking in to beck and then spewing in to lake. Large particles and brown foam.,54.4030257,-2.9630094,North West,LA22 0JA,Westmorland and Furness,England
q4SMDJecCETcyhhjU2uM,sju17pXGTHTReytwSqnivnanvcA2,2023-02-06 18:21:10,"Fulwood, Preston",Here,53.7929465,-2.7357229,North West,PR2 7EU,Preston,England
x273B17snuZFCvbOvOBn,sju17pXGTHTReytwSqnivnanvcA2,2023-02-06 18:23:33,River Ribble,"Hi there, Today I read Lizzie Carr's piece in Water magazine. Very good I agree and I'm pleased you are helping to wake the Government. 
I'm 77 , starting as an engineer in local government. Working in the water industry 50 years designing managing and building water and wastewater assets. They were always liabilities until you could sell them (as they did). Road to disaster.

The big issue not in focus is the lack of public understanding. I agree that farm pollution is a major problem and utilities are guilty but there' much more. 
 
All the housing estates built in the last 50 years are separately sewered. We get washing machines in garages and blokes changing engine oil dumping the old oil in handily placed road gullies. All connected to surface water sewers feeding ino streams and rivers. People just don't realise or choose not to. I've told EA people they need a public awareness campaign. Its too much trouble even though it's easy! If you would like me to expand and help I'll be pleased to assist. 07713 845459",0,0,,,,
cp8GbIKiTMVpZRHwIupo,YKGJ1LncxEYCUl9YDJFBrWn7FN12,2023-04-05 11:06:42,Trent,Bldidhd fmdksm,53.05539259905626,-0.8890367568046145,East Midlands,NG23 5SL,Newark and Sherwood,England
0ZoXSdOHrA1HcJpYSDOH,05sKsYusC4dyusMqhIVi7Q7zca42,2023-04-10 12:16:36,lake,text description here!,37.424284452607445,-122.16628021571985,,,,
nIM3txmQ5tg0IhjrQ54i,zHm4JXEFN3WQ0xUdeR0bYSUCBBM2,2023-04-12 15:36:42,Ouseburn river,Orange residue in water. Unfortunately don’t know info about how and where it could have come from,54.983048722402174,-1.579686832473739,North East,NE6 5YA,Newcastle upon Tyne,England
mbC1bHXazPTgVg5HEDuV,U0ABNO0j4GQrng02OuBns8H0Ua43,2023-04-14 21:28:00,Lake Windermere,Very grey beck full of large bits / particles. Loads of foam. Slime and sludge of dark colour present. Large slick going on to lake. From NT septic tank. Rained earlier.,54.4030016,-2.9630336,North West,LA22 0JA,Westmorland and Furness,England
8wAeVPpZBnQgf1LR9ey6,UNILV2j9nQOFtAkKPqadAGgNNvN2,2023-04-22 10:17:00,RIVER TEES,"Really strong smell of diesel or petroleum based product from out flow, flowing into the River Tees.",54.5674223,-1.2737385,North East,TS5 4AB,Middlesbrough,England
wcNka5HonxUot0VtcoeR,UNILV2j9nQOFtAkKPqadAGgNNvN2,2023-04-22 10:23:00,RIVER TEES,"Not sure what this white foam, frothing up as a result of the river watering falling from height over the barrage gates into the river below.",54.5645757,-1.2859518,North East,TS17 6QB,Stockton-on-Tees,England
HIs1rWAHCGFaFTVYMjQ6,UNILV2j9nQOFtAkKPqadAGgNNvN2,2023-04-22 10:27:00,RIVER Tees,Oil or diesel slick running into river Tees below New Port Bridge,54.5676969,-1.2675462,North East,TS5 4AF,Middlesbrough,England
FjBomvOXbt7Yv3RDVZ46,IP1cL9il3VfCJJS6Ps0kHUE72ey2,2023-04-23 17:24:33,River Alne,It’s been there at least 3 months to my knowledge.it was downwind so not sure about the smell,52.248309081413,-1.7969974743576487,West Midlands,B95 6HW,Stratford-on-Avon,England
w8Gonyf1ydGRhMIMWmFt,UNILV2j9nQOFtAkKPqadAGgNNvN2,2023-04-30 09:05:00,River Tees,Pollution below the barrage from the River Tees tumbling over the barrage gates.,54.5645592,-1.2861364,North East,TS18 2QW,Stockton-on-Tees,England
MCzzifyTUnfByFN9vVb4,U0ABNO0j4GQrng02OuBns8H0Ua43,2023-04-30 16:28:00,Lake Windermere,Light rain. Beck is very grey and large particles seen. Slimy grey sludge. Foam with brown bubbles. Lots of foam. Long slick in to lake. Coming from septic tank at NT site.,54.4031099,-2.9628897,North West,LA22 0JA,Westmorland and Furness,England
qJ7ewI3cCvM86lIzTmyW,U0ABNO0j4GQrng02OuBns8H0Ua43,2023-05-08 19:23:00,Lake Windermere,Beck is grey. Large particles and brown foam. Long discharge in to lake. Coming from NT septic tank. Again. Light drizzle.,54.4029619,-2.9629284,North West,LA22 0JA,Westmorland and Furness,England
BjHMy5GKDDXreZ43SPIC,JgbHlEbKPFZVwB6qRhiXMboZnrJ3,2023-06-09 11:18:28,Cardiff bay,Water pollution in cardiff bay,51.4481832,-3.1819077,Wales,CF64 1SN,Vale of Glamorgan,Wales
jWXMSEuiDgJmstajXzo2,3jjjXkJQ5NVbWEOtHNXH8Aggu072,2023-06-09 11:19:11,Cardiff white water,Plastic bottles,51.448211349433926,-3.1819300820371805,Wales,CF64 1SN,Vale of Glamorgan,Wales
nsZq6cL9Esri9OoIcvs3,JgbHlEbKPFZVwB6qRhiXMboZnrJ3,2023-06-09 11:28:37,Cardiff bay,Water bottle,51.4481951,-3.181884,Wales,CF64 1SN,Vale of Glamorgan,Wales
qAWC8NTotcgps3owzrsr,U0ABNO0j4GQrng02OuBns8H0Ua43,2023-06-15 02:00:00,Lake Windermere,Blue green algal bloom next to septic tank discharge,54.4038087,-2.9628883,North West,LA22 0JA,Westmorland and Furness,England
9hT70eA8jna9FU32qpxJ,U0ABNO0j4GQrng02OuBns8H0Ua43,2023-06-20 11:33:00,Lake Windermere,Beck is very grey / opaque. Frothy water. Septic tank leaking from NT Wray Castle. Again. Running in to Lake Windermere.,54.4031545,-2.9630388,North West,LA22 0JA,Westmorland and Furness,England
JN4g6smpvwhMoUzPOOgl,U0ABNO0j4GQrng02OuBns8H0Ua43,2023-06-23 16:30:00,Lake Windermere,"Septic tank from Wray Castle in leaking in to beck that flows in to Lake Windermere. Water is very grey, large particles and frothy. Light rain.",54.4028753,-2.9630548,North West,LA22 0JA,Westmorland and Furness,England
6nfS0ThkzKjwFW2Pfe3p,U0ABNO0j4GQrng02OuBns8H0Ua43,2023-06-25 18:32:00,Lake Windermere,Beck possibly contaminated by leakage from old small septic tank at NT Wray Castle. Happens every time there is rain. Beck completely opaque and discharging clear long slick in to Lake Windermere,54.40231045291466,-2.968588646088812,North West,LA22 0JA,Westmorland and Furness,England
jaWQnfdGE5Sn3f6ygUMM,U0ABNO0j4GQrng02OuBns8H0Ua43,2023-07-12 06:25:00,Lake Windermere,Beck was clear until torrential short shower. Beck then became grey and opaque with bubbles. Slick could be seen entering lake Windermere. Septic tank from nearby tourist attraction.,54.4028772,-2.9629557,North West,LA22 0JA,Westmorland and Furness,England
SQjcTeCqAXGtegJZSEjf,cxrvjS8VOGMxNa6nFWr19miA5yB2,2023-09-06 13:21:42,Test,Test,52.739365880170915,-1.1619597467030025,East Midlands,LE12 8DB,Charnwood,England
u1TqAgFf6U7Atts5FZrD,U0ABNO0j4GQrng02OuBns8H0Ua43,2023-09-10 19:33:32,Lake Windermere,Wray Castle septic tank flooding Lake Windermere with sewage. Again.,54.4027277,-2.9627141,North West,LA22 0JA,Westmorland and Furness,England
qsHR8a7Y7riKGLIgslGU,6B41W6fM7fR1DBcG1xbFe8NdjSx2,2023-09-26 02:38:00,River Axe,"Stank of sewage  
 Very visible around island hide on Seaton wetland
Reported to EA 
Birdwatchers said it often stank of sewage!!!!",50.7195084,-3.0613589,South West,EX24 6QP,East Devon,England
rGIp25v9a8SLmQpZVenW,6B41W6fM7fR1DBcG1xbFe8NdjSx2,2023-10-03 15:20:00,River Axe,"Returned sewage smell less than a week ago   Much scum round the little islands 
Reported to EA",50.7194693,-3.0612828,South West,EX24 6QP,East Devon,England
N2D3LpGfgfXdvmwuzWDE,6B41W6fM7fR1DBcG1xbFe8NdjSx2,2023-10-09 11:26:00,River Plym,Stank of sewage. Outlet was cloudy  path went up to NT Saltram. Further along  Water pouring into river Plym from another unseen outlet. Many whitish bubbles and stench. Tide was out,50.3867894,-4.083056,South West,PL7 4NW,Plymouth,England
Pnbds5qNYKfTWNaVWwO2,ne1ObAqlWqhmoJHtpgNrqDNQFTw2,2023-10-13 14:20:00,River Thames,Oily water in the river (petrol),51.522513,-0.5656499,South East,SL3 6LN,Buckinghamshire,England
wQYk7Lqg8HIh2mXCsKMb,ne1ObAqlWqhmoJHtpgNrqDNQFTw2,2023-10-13 17:15:05,River Thames,Oily,51.4617521,-0.5677931,South East,TW19 5EN,Windsor and Maidenhead,England
eUDoeufepQPBGijk0xGw,AsUtnf8jaEOVrUufxZQgIEJgXpi1,2023-10-19 14:36:20,Salford/Manchester shipping canal,"Litter, garbage, shipping wastage (its a ship canal in Salford) sewage waist.",53.470741245014096,-2.289091888817296,North West,M50 3TT,Salford,England
cUUvn36qHKTwSY7lkbFR,ne1ObAqlWqhmoJHtpgNrqDNQFTw2,2023-10-24 15:35:00,River Thames,Petrol in the river. So strong petroleum smell all over the place.,51.3825764,-0.4628159,South East,TW17 9JW,Spelthorne,England
DUvkRKm9TmbA2HQSKDEe,P46qA2QHd3dBisf8QwVFyLHMSFn2,2023-10-26 13:18:00,River Soar Leicester,Litter and detritus dumped in Leicester every week especially when flood conditions,52.6753377,-1.1183124,East Midlands,LE4 4DQ,Charnwood,England
OrmWgyFg1vC1rErt0II2,P46qA2QHd3dBisf8QwVFyLHMSFn2,2023-10-26 13:55:00,River Soar Birstall Leicestershire,Household Rubbish dumped in Leicester and washed down River to Birstall,52.6752959,-1.1182793,East Midlands,LE4 4DQ,Charnwood,England
2CZpasB67V8EiZotA21D,Mcdu1JiSAaa7E44kyHImmacDbvo1,2024-01-09 15:33:36,River Trent/My home,"Recent flooding on the River Trent. 
Smells like sewage. 
For 3 days since the the river bursts it’s banks. 
No, I have never had flooding come into my home before.",51.44035046865053,-0.11088314537020867,London,SW2 3DS,Lambeth,England
fIbPjkD0i6ONzbM0nffA,44BxNgqtcacBPtG9lajTq4UFqn63,2024-01-11 01:38:00,Rue de l’etang,Plastic bags,-21.1685637,55.2877538,,,,
ry4cQVhGnyRwarl0imxK,44BxNgqtcacBPtG9lajTq4UFqn63,2024-01-11 01:38:00,Rue de l’etang,Plastic bags,-21.1685637,55.2877538,,,,
wF01hpclTkSV7ldQSxLO,44BxNgqtcacBPtG9lajTq4UFqn63,2024-01-11 01:38:00,Rue de l’etang,Plastic bags,-21.1685637,55.2877538,,,,
NsUkukh1Y8G0E46EPsq6,44BxNgqtcacBPtG9lajTq4UFqn63,2024-02-24 10:17:00,port-gentil bay,close to a refinery,-0.6792602,8.7775328,,,,
BKcKUMJ5SuKq9YLMeMYD,eBSlpKzuy1NTfxhCC6nnpZHEauK2,2024-04-02 11:00:00,Gallows brook,"Potential sources: a block of flats adjacent has had a backed up drain with sewage effluent released prior to this incident. 

Not noticed this type of pollution in the stream before. No obvious smell.",52.4195539,-1.9562157,West Midlands,B31 2DE,Birmingham,England
4ZdULkwHtffx6SL78QbR,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 06:14:18,Casio ma 220,Delivery,43.6881845,-79.78526,,,,
XqDpvSs2uJc4Kc0NH931,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 10:20:09,Hi,Stop it amal nabeel,43.6881869,-79.7852917,,,,
lYKhvdyMDbPuCBFFnGKW,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 10:49:52,Hi,Hi,43.6881904,-79.7852844,,,,
MkHV3UB2wBQycb6zgpOu,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 11:58:21,Hi,Hi,43.6883076,-79.7853871,,,,
NSAGjzKHm7EDsVSVIth8,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 12:08:12,Hi,Hi,43.6882947,-79.7853871,,,,
BNKz1jp3Myi6CKfjaCnS,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 12:24:04,Hi,Hi,43.9165243,-78.9716046,,,,
3qZUuGf1cgTUdYkFgPpt,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 14:29:57,Hi,Hi,43.6882915,-79.7853866,,,,
zdMzeuxQDlkh8XGv8Lyv,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 14:53:01,Hi,Hi,43.6882824,-79.7853949,,,,
7mvTs0RrfLDPIw4Vxe0H,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 14:55:56,Hi,Hi,43.6882832,-79.7853888,,,,
PLIzKDBhxpuSp257HXRI,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 14:56:35,Hi,Hi,43.7081156,-79.8458849,,,,
8SpRFQSkoBY3KgaXT8Ap,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 15:07:57,Hi,Hi,43.6882788,-79.7853899,,,,
VqWkcuD1kXFKIJ8JX8mT,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 15:12:57,Hi,Hi,43.6882911,-79.7853997,,,,
BbJ5vBHLNhgcGQdyi955,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 15:13:49,77,Hi,43.7069837,-79.8469315,,,,
EM5dNsrOnoVD6ulz7vBn,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 15:30:48,Hi,Hi,43.688302,-79.7853916,,,,
oy87oRehl7BRzxJLJwg3,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 15:32:40,Hi,Hahahahahahahaha,43.6883081,-79.7853869,,,,
UAkIZlze52qdO6jh63O1,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 15:44:35,Hi,Hi,43.6882701,-79.7853901,,,,
OLSPOTdO68WmtUpGx0KD,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 15:50:40,6,Hi,43.6882973,-79.7853856,,,,
GOWXpu0VC51EhZRDQ6Xd,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 16:03:16,Hi,Hi,43.6882985,-79.7853953,,,,
oECdPp6uBksCwfUpWdpu,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 16:13:41,Hi,Hi,43.5680335,-79.7329838,,,,
hGTo6yhr6dWGY2SGmb6V,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 16:15:51,Hi,Hi,43.5892167,-79.7090271,,,,
a9Eg6GuG2QmE50sZlmAQ,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 16:16:26,Hi,Hi,43.5473708,-79.654937,,,,
9JIgtC1fr0kZnGdkLKwW,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 16:17:16,Hi,Hi,43.5703219,-79.7253468,,,,
D25KOQ6P6ciMN7OSMnit,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 16:27:04,Hi,Here you go,24.4703681,39.6109599,,,,
mBuv4fWgZIoLBX0xzKNM,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 16:27:04,Hi,Here you go,24.4703681,39.6109599,,,,
MVDNQzMwaAUMsAhJkmOK,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 19:39:59,55,Hahahahahahahaha,43.9165257,-78.9715987,,,,
eUr7Lrox3chi7rI3YDrB,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 20:02:42,44,Hi,43.7082156,-79.8456467,,,,
BxvScwAc7mgoCmO7w1FP,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 20:12:45,66,Lets go,43.9165137,-78.9716151,,,,
VQJmlS8thb19BkZc3ntw,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 20:16:14,44,Stop it kids stop it people,43.7081723,-79.8458727,,,,
wiFF6ArGQneG3x6mN35O,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-18 20:17:47,55,Internet will work,43.5433016,-79.6883226,,,,
4lKxEk92SlQ4sGEeb0OT,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-21 15:32:44,44,Hi,43.9165282,-78.9716128,,,,
P88cAPxd1U5GbV2kntJO,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-21 15:41:15,Ui,Hi,43.9165379,-78.9716003,,,,
8iNHlFxkKcEZ2Q7TQK3q,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-21 15:51:35,44,Ji,43.7084111,-79.8456191,,,,
qGTxL7mdIlKhyX41mSk7,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-21 15:51:35,44,Ji,43.7084111,-79.8456191,,,,
2EgKqgAIiZ7FAdwSetTs,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-21 19:24:26,Delivery delivery,Hi,43.9165286,-78.9716119,,,,
uyyYOfOQ6w7DSWCQbFfW,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-21 19:27:47,Hi,Hi,43.916514,-78.9715961,,,,
hyjYy1q9GuL23TPDOsDh,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-22 01:47:00,Hi,Hi,43.70821,-79.8458465,,,,
lDFUIJKVxZNRYGGfYWD7,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-22 07:03:29,Hi,Hi,43.9165294,-78.9715994,,,,
WzzvaPU8DnjPb2Rw9idG,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-22 11:07:55,Hi,Hi,43.9165145,-78.9716029,,,,
UchGmt6dONLv8NmOHuJ1,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-22 12:46:09,Hi,Hi,43.9165272,-78.9716,,,,
yVuhQTS0Cr2wPXnGd4er,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-22 12:54:11,88,66,43.9165238,-78.9715788,,,,
YciHZeWD2nMeejBux4HI,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-22 16:00:00,Hi,Hi,43.7078828,-79.8463259,,,,
je1mdaGCcH3xKfulrq1B,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-22 17:40:59,Hj,I wonder who its from,43.7079013,-79.8462313,,,,
oXD8oZITsp7bRMh6vzjG,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-22 17:40:59,Hj,I wonder who its from,43.7079013,-79.8462313,,,,
dNnFlOdm50Pk9s7bKs1b,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-22 20:03:48,88,55,43.7078049,-79.8462807,,,,
y8JhLIO9Myo1UxPCh966,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-22 21:42:46,Ji,Look its letter from your friends from blue clues joe and steve,43.9165231,-78.9715968,,,,
qiKOh3c4mGf0LUTt5FY5,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-25 08:53:02,Hi,Hi,43.6571058,-79.7595481,,,,
7bDGVLW1cAzcwNeHlnUw,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-25 11:45:37,Hi,Hi,43.9165197,-78.9716127,,,,
OGNCW9NpCZaM0xeC7K3v,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-27 16:29:59,Hi,Hi,43.7083951,-79.8456299,,,,
oFEAfeVZxqHAihMuJKJT,Di9l9k7nOHOX1ayo2seeRnnHtSL2,2024-05-28 16:05:15,Hi,66,43.5432848,-79.6882357,,,,
Z8978ZS3tIwxDMJFueCU,vKjzcsE9XnM0x6e3yVs8Ye6OYa13,2024-06-12 12:35:21,River,Oil spillage,51.5415068,-0.020867,London,E3 2PD,Tower Hamlets,England
KOxjmp5pIQD7gT4HowPB,1YL7uspoiMYAopmBoCwQChUfaZw2,2024-09-26 10:19:06,ponty,a man have pollution in my highschool,45.54194749359608,2.3160025779896913,,,,
UsvuC4ckPOJdX8lnVuI0,1YL7uspoiMYAopmBoCwQChUfaZw2,2024-09-26 10:19:06,ponty,a man have pollution in my highschool,45.54194749359608,2.3160025779896913,,,,
LWZwVLAOCisttqtMYwQ6,1YL7uspoiMYAopmBoCwQChUfaZw2,2024-09-26 10:21:17,ponty,a man is crazy and have jeter un blanco par terrr,45.54208533910216,2.31608079201751,,,,
